TIME 	 RK_theta	 Small_theta	
0.0000000000	 89.9988690266	 90.0000000000	
0.0020064093	 89.9954761066	 89.9982234771	
0.0040128186	 89.9898212398	 89.9928939783	
0.0060192279	 89.9819044264	 89.9840117143	
0.0080256372	 89.9717256663	 89.9715770355	
0.0100320465	 89.9592849599	 89.9555904329	
0.0120384558	 89.9445823073	 89.9360525377	
0.0140448650	 89.9276177091	 89.9129641210	
0.0160512743	 89.9083911660	 89.8863260945	
0.0180576836	 89.8869026792	 89.8561395098	
0.0200640929	 89.8631522500	 89.8224055585	
0.0220705022	 89.8371398807	 89.7851255725	
0.0240769115	 89.8088655739	 89.7443010235	
0.0260833208	 89.7783293330	 89.6999335231	
0.0280897301	 89.7455311624	 89.6520248229	
0.0300961394	 89.7104710675	 89.6005768143	
0.0321025487	 89.6731490549	 89.5455915283	
0.0341089580	 89.6335651325	 89.4870711357	
0.0361153673	 89.5917193098	 89.4250179468	
0.0381217766	 89.5476115980	 89.3594344113	
0.0401281859	 89.5012420101	 89.2903231183	
0.0421345951	 89.4526105615	 89.2176867963	
0.0441410044	 89.4017172695	 89.1415283127	
0.0461474137	 89.3485621544	 89.0618506742	
0.0481538230	 89.2931452391	 88.9786570264	
0.0501602323	 89.2354665494	 88.8919506536	
0.0521666416	 89.1755261147	 88.8017349787	
0.0541730509	 89.1133239678	 88.7080135634	
0.0561794602	 89.0488601454	 88.6107901076	
0.0581858695	 88.9821346883	 88.5100684496	
0.0601922788	 88.9131476418	 88.4058525656	
0.0621986881	 88.8418990560	 88.2981465699	
0.0642050974	 88.7683889860	 88.1869547146	
0.0662115067	 88.6926174922	 88.0722813893	
0.0682179159	 88.6145846412	 87.9541311211	
0.0702243252	 88.5342905051	 87.8325085745	
0.0722307345	 88.4517351630	 87.7074185508	
0.0742371438	 88.3669187006	 87.5788659884	
0.0762435531	 88.2798412109	 87.4468559623	
0.0782499624	 88.1905027945	 87.3113936841	
0.0802563717	 88.0989035599	 87.1724845016	
0.0822627810	 88.0050436245	 87.0301338986	
0.0842691903	 87.9089231140	 86.8843474950	
0.0862755996	 87.8105421640	 86.7351310461	
0.0882820089	 87.7099009194	 86.5824904427	
0.0902884182	 87.6069995355	 86.4264317109	
0.0922948275	 87.5018381784	 86.2669610116	
0.0943012368	 87.3944170253	 86.1040846403	
0.0963076460	 87.2847362650	 85.9378090272	
0.0983140553	 87.1727960986	 85.7681407365	
0.1003204646	 87.0585967397	 85.5950864666	
0.1023268739	 86.9421384153	 85.4186530491	
0.1043332832	 86.8234213660	 85.2388474495	
0.1063396925	 86.7024458467	 85.0556767662	
0.1083461018	 86.5792121272	 84.8691482304	
0.1103525111	 86.4537204925	 84.6792692059	
0.1123589204	 86.3259712437	 84.4860471888	
0.1143653297	 86.1959646985	 84.2894898073	
0.1163717390	 86.0637011916	 84.0896048211	
0.1183781483	 85.9291810754	 83.8864001212	
0.1203845576	 85.7924047208	 83.6798837299	
0.1223909668	 85.6533725177	 83.4700638001	
0.1243973761	 85.5120848754	 83.2569486151	
0.1264037854	 85.3685422235	 83.0405465883	
0.1284101947	 85.2227450127	 82.8208662629	
0.1304166040	 85.0746937151	 82.5979163116	
0.1324230133	 84.9243888249	 82.3717055359	
0.1344294226	 84.7718308595	 82.1422428663	
0.1364358319	 84.6170203598	 81.9095373616	
0.1384422412	 84.4599578909	 81.6735982087	
0.1404486505	 84.3006440430	 81.4344347219	
0.1424550598	 84.1390794322	 81.1920563431	
0.1444614691	 83.9752647008	 80.9464726410	
0.1464678784	 83.8092005184	 80.6976933107	
0.1484742877	 83.6408875828	 80.4457281736	
0.1504806969	 83.4703266202	 80.1905871770	
0.1524871062	 83.2975183864	 79.9322803932	
0.1544935155	 83.1224636676	 79.6708180199	
0.1564999248	 82.9451632808	 79.4062103791	
0.1585063341	 82.7656180752	 79.1384679172	
0.1605127434	 82.5838289322	 78.8676012039	
0.1625191527	 82.3997967671	 78.5936209329	
0.1645255620	 82.2135225293	 78.3165379203	
0.1665319713	 82.0250072033	 78.0363631048	
0.1685383806	 81.8342518095	 77.7531075474	
0.1705447899	 81.6412574053	 77.4667824304	
0.1725511992	 81.4460250857	 77.1773990574	
0.1745576085	 81.2485559841	 76.8849688529	
0.1765640177	 81.0488512735	 76.5895033615	
0.1785704270	 80.8469121671	 76.2910142477	
0.1805768363	 80.6427399191	 75.9895132952	
0.1825832456	 80.4363358262	 75.6850124068	
0.1845896549	 80.2277012276	 75.3775236038	
0.1865960642	 80.0168375067	 75.0670590252	
0.1886024735	 79.8037460917	 74.7536309276	
0.1906088828	 79.5884284563	 74.4372516847	
0.1926152921	 79.3708861212	 74.1179337866	
0.1946217014	 79.1511206544	 73.7956898393	
0.1966281107	 78.9291336728	 73.4705325645	
0.1986345200	 78.7049268425	 73.1424747990	
0.2006409293	 78.4785018803	 72.8115294937	
0.2026473386	 78.2498605543	 72.4777097140	
0.2046537478	 78.0190046852	 72.1410286384	
0.2066601571	 77.7859361471	 71.8014995585	
0.2086665664	 77.5506568683	 71.4591358783	
0.2106729757	 77.3131688327	 71.1139511138	
0.2126793850	 77.0734740804	 70.7659588923	
0.2146857943	 76.8315747092	 70.4151729519	
0.2166922036	 76.5874728751	 70.0616071410	
0.2186986129	 76.3411707934	 69.7052754179	
0.2207050222	 76.0926707401	 69.3461918498	
0.2227114315	 75.8419750527	 68.9843706128	
0.2247178408	 75.5890861308	 68.6198259910	
0.2267242501	 75.3340064381	 68.2525723760	
0.2287306594	 75.0767385024	 67.8826242662	
0.2307370686	 74.8172849174	 67.5099962667	
0.2327434779	 74.5556483434	 67.1347030882	
0.2347498872	 74.2918315083	 66.7567595465	
0.2367562965	 74.0258372088	 66.3761805622	
0.2387627058	 73.7576683116	 65.9929811600	
0.2407691151	 73.4873277541	 65.6071764679	
0.2427755244	 73.2148185456	 65.2187817168	
0.2447819337	 72.9401437687	 64.8278122399	
0.2467883430	 72.6633065796	 64.4342834720	
0.2487947523	 72.3843102101	 64.0382109488	
0.2508011616	 72.1031579679	 63.6396103068	
0.2528075709	 71.8198532381	 63.2384972819	
0.2548139802	 71.5343994840	 62.8348877094	
0.2568203895	 71.2468002486	 62.4287975232	
0.2588267987	 70.9570591551	 62.0202427549	
0.2608332080	 70.6651799083	 61.6092395336	
0.2628396173	 70.3711662958	 61.1958040850	
0.2648460266	 70.0750221888	 60.7799527309	
0.2668524359	 69.7767515430	 60.3617018883	
0.2688588452	 69.4763584005	 59.9410680691	
0.2708652545	 69.1738468897	 59.5180678791	
0.2728716638	 68.8692212273	 59.0927180178	
0.2748780731	 68.5624857190	 58.6650352771	
0.2768844824	 68.2536447605	 58.2350365412	
0.2788908917	 67.9427028386	 57.8027387859	
0.2808973010	 67.6296645325	 57.3681590774	
0.2829037103	 67.3145345143	 56.9313145722	
0.2849101195	 66.9973175507	 56.4922225162	
0.2869165288	 66.6780185037	 56.0509002439	
0.2889229381	 66.3566423313	 55.6073651781	
0.2909293474	 66.0331940894	 55.1616348288	
0.2929357567	 65.7076789320	 54.7137267925	
0.2949421660	 65.3801021125	 54.2636587520	
0.2969485753	 65.0504689850	 53.8114484752	
0.2989549846	 64.7187850049	 53.3571138145	
0.3009613939	 64.3850557300	 52.9006727063	
0.3029678032	 64.0492868217	 52.4421431702	
0.3049742125	 63.7114840458	 51.9815433080	
0.3069806218	 63.3716532733	 51.5188913035	
0.3089870311	 63.0298004819	 51.0542054214	
0.3109934404	 62.6859317564	 50.5875040067	
0.3129998496	 62.3400532900	 50.1188054839	
0.3150062589	 61.9921713849	 49.6481283566	
0.3170126682	 61.6422924539	 49.1754912061	
0.3190190775	 61.2904230204	 48.7009126914	
0.3210254868	 60.9365697201	 48.2244115481	
0.3230318961	 60.5807393013	 47.7460065876	
0.3250383054	 60.2229386262	 47.2657166965	
0.3270447147	 59.8631746716	 46.7835608359	
0.3290511240	 59.5014545298	 46.2995580403	
0.3310575333	 59.1377854094	 45.8137274175	
0.3330639426	 58.7721746361	 45.3260881472	
0.3350703519	 58.4046296536	 44.8366594806	
0.3370767612	 58.0351580243	 44.3454607393	
0.3390831704	 57.6637674304	 43.8525113153	
0.3410895797	 57.2904656740	 43.3578306692	
0.3430959890	 56.9152606786	 42.8614383301	
0.3451023983	 56.5381604894	 42.3633538949	
0.3471088076	 56.1591732740	 41.8635970270	
0.3491152169	 55.7783073235	 41.3621874559	
0.3511216262	 55.3955710527	 40.8591449766	
0.3531280355	 55.0109730010	 40.3544894481	
0.3551344448	 54.6245218331	 39.8482407935	
0.3571408541	 54.2362263395	 39.3404189986	
0.3591472634	 53.8460954371	 38.8310441113	
0.3611536727	 53.4541381700	 38.3201362409	
0.3631600820	 53.0603637097	 37.8077155571	
0.3651664913	 52.6647813559	 37.2938022894	
0.3671729005	 52.2674005373	 36.7784167263	
0.3691793098	 51.8682308112	 36.2615792142	
0.3711857191	 51.4672818651	 35.7433101571	
0.3731921284	 51.0645635163	 35.2236300153	
0.3751985377	 50.6600857127	 34.7025593050	
0.3772049470	 50.2538585332	 34.1801185970	
0.3792113563	 49.8458921880	 33.6563285164	
0.3812177656	 49.4361970191	 33.1312097416	
0.3832241749	 49.0247835003	 32.6047830034	
0.3852305842	 48.6116622380	 32.0770690842	
0.3872369935	 48.1968439711	 31.5480888172	
0.3892434028	 47.7803395713	 31.0178630857	
0.3912498121	 47.3621600436	 30.4864128221	
0.3932562213	 46.9423165262	 29.9537590071	
0.3952626306	 46.5208202907	 29.4199226689	
0.3972690399	 46.0976827425	 28.8849248826	
0.3992754492	 45.6729154206	 28.3487867690	
0.4012818585	 45.2465299981	 27.8115294937	
0.4032882678	 44.8185382817	 27.2731742669	
0.4052946771	 44.3889522122	 26.7337423419	
0.4073010864	 43.9577838643	 26.1932550145	
0.4093074957	 43.5250454466	 25.6517336223	
0.4113139050	 43.0907493017	 25.1091995435	
0.4133203143	 42.6549079057	 24.5656741966	
0.4153267236	 42.2175338686	 24.0211790388	
0.4173331329	 41.7786399336	 23.4757355661	
0.4193395422	 41.3382389776	 22.9293653115	
0.4213459514	 40.8963440102	 22.3820898448	
0.4233523607	 40.4529681742	 21.8339307716	
0.4253587700	 40.0081247446	 21.2849097321	
0.4273651793	 39.5618271291	 20.7350484009	
0.4293715886	 39.1140888669	 20.1843684854	
0.4313779979	 38.6649236290	 19.6328917257	
0.4333844072	 38.2143452173	 19.0806398930	
0.4353908165	 37.7623675647	 18.5276347893	
0.4373972258	 37.3090047340	 17.9738982463	
0.4394036351	 36.8542709178	 17.4194521246	
0.4414100444	 36.3981804379	 16.8643183127	
0.4434164537	 35.9407477445	 16.3085187264	
0.4454228630	 35.4819874160	 15.7520753078	
0.4474292722	 35.0219141580	 15.1950100241	
0.4494356815	 34.5605428024	 14.6373448675	
0.4514420908	 34.0978883076	 14.0791018536	
0.4534485001	 33.6339657566	 13.5203030209	
0.4554549094	 33.1687903570	 12.9609704297	
0.4574613187	 32.7023774400	 12.4011261616	
0.4594677280	 32.2347424594	 11.8407923183	
0.4614741373	 31.7659009907	 11.2799910208	
0.4634805466	 31.2958687303	 10.7187444085	
0.4654869559	 30.8246614947	 10.1570746386	
0.4674933652	 30.3522952191	 9.5950038848	
0.4694997745	 29.8787859566	 9.0325543366	
0.4715061838	 29.4041498771	 8.4697481987	
0.4735125931	 28.9284032663	 7.9066076896	
0.4755190023	 28.4515625244	 7.3431550411	
0.4775254116	 27.9736441651	 6.7794124975	
0.4795318209	 27.4946648142	 6.2154023143	
0.4815382302	 27.0146412085	 5.6511467576	
0.4835446395	 26.5335901945	 5.0866681034	
0.4855510488	 26.0515287272	 4.5219886362	
0.4875574581	 25.5684738685	 3.9571306486	
0.4895638674	 25.0844427862	 3.3921164403	
0.4915702767	 24.5994527521	 2.8269683170	
0.4935766860	 24.1135211412	 2.2617085899	
0.4955830953	 23.6266654296	 1.6963595744	
0.4975895046	 23.1389031935	 1.1309435895	
0.4995959139	 22.6502521073	 0.5654829569	
0.5016023231	 22.1607299423	 -0.0000000000	
0.5036087324	 21.6703545649	 -0.5654829569	
0.5056151417	 21.1791439353	 -1.1309435895	
0.5076215510	 20.6871161054	 -1.6963595744	
0.5096279603	 20.1942892175	 -2.2617085899	
0.5116343696	 19.7006815022	 -2.8269683170	
0.5136407789	 19.2063112772	 -3.3921164403	
0.5156471882	 18.7111969450	 -3.9571306486	
0.5176535975	 18.2153569914	 -4.5219886362	
0.5196600068	 17.7188099835	 -5.0866681034	
0.5216664161	 17.2215745682	 -5.6511467576	
0.5236728254	 16.7236694697	 -6.2154023143	
0.5256792347	 16.2251134882	 -6.7794124975	
0.5276856440	 15.7259254977	 -7.3431550411	
0.5296920532	 15.2261244440	 -7.9066076896	
0.5316984625	 14.7257293427	 -8.4697481987	
0.5337048718	 14.2247592776	 -9.0325543366	
0.5357112811	 13.7232333980	 -9.5950038848	
0.5377176904	 13.2211709172	 -10.1570746386	
0.5397240997	 12.7185911102	 -10.7187444085	
0.5417305090	 12.2155133116	 -11.2799910208	
0.5437369183	 11.7119569137	 -11.8407923183	
0.5457433276	 11.2079413639	 -12.4011261616	
0.5477497369	 10.7034861630	 -12.9609704297	
0.5497561462	 10.1986108630	 -13.5203030209	
0.5517625555	 9.6933350646	 -14.0791018536	
0.5537689648	 9.1876784153	 -14.6373448675	
0.5557753740	 8.6816606070	 -15.1950100241	
0.5577817833	 8.1753013738	 -15.7520753078	
0.5597881926	 7.6686204898	 -16.3085187264	
0.5617946019	 7.1616377668	 -16.8643183127	
0.5638010112	 6.6543730521	 -17.4194521246	
0.5658074205	 6.1468462261	 -17.9738982463	
0.5678138298	 5.6390771998	 -18.5276347893	
0.5698202391	 5.1310859132	 -19.0806398930	
0.5718266484	 4.6228923321	 -19.6328917257	
0.5738330577	 4.1145164462	 -20.1843684854	
0.5758394670	 3.6059782669	 -20.7350484009	
0.5778458763	 3.0972978246	 -21.2849097321	
0.5798522856	 2.5884951667	 -21.8339307716	
0.5818586949	 2.0795903549	 -22.3820898448	
0.5838651041	 1.5706034629	 -22.9293653115	
0.5858715134	 1.0615545744	 -23.4757355661	
0.5878779227	 0.5524637802	 -24.0211790388	
0.5898843320	 0.0433511762	 -24.5656741966	
0.5918907413	 -0.4657631393	 -25.1091995435	
